epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse
1,1.37187283,0.55707591,0.31592983,0.18824439,1.74759766,0.19078984
2,0.83999333,0.34609367,0.24445531,0.15037350,1.11612017,0.15638884
3,0.64532382,0.25641447,0.21328754,0.12830174,0.87990902,0.13380297
4,0.51519276,0.21410485,0.18967969,0.11734224,0.71598136,0.12297662
5,0.42912960,0.18714058,0.17267655,0.10778914,0.60626500,0.11355608
6,0.36873201,0.17602471,0.15973770,0.10395547,0.52917176,0.11019433
7,0.32369674,0.16921507,0.14933671,0.10087775,0.47142145,0.10750309
8,0.29246034,0.16496645,0.14158550,0.09946001,0.43160554,0.10656453
9,0.26641433,0.16036075,0.13514607,0.09716780,0.39849050,0.10457209
10,0.24856818,0.15922679,0.13009276,0.09713353,0.37465042,0.10500218
11,0.23369574,0.15702779,0.12624467,0.09569645,0.35668532,0.10379429
12,0.21961863,0.15431904,0.12220003,0.09447732,0.33769554,0.10306513
13,0.20946400,0.15207243,0.11911865,0.09364082,0.32003848,0.10229504
14,0.20103828,0.15060803,0.11656136,0.09323905,0.30596584,0.10218806
15,0.19502930,0.14796098,0.11471792,0.09229463,0.29567939,0.10119631
16,0.18822590,0.14709456,0.11286511,0.09205600,0.28579578,0.10099271
17,0.18353870,0.14588550,0.11135749,0.09211477,0.27802346,0.10141211
18,0.18010548,0.14395599,0.11019050,0.09131454,0.27182407,0.10049236
19,0.17692107,0.14277451,0.10919041,0.09111883,0.26641356,0.10039669
20,0.17363141,0.14189276,0.10815582,0.09055813,0.26195279,0.09982105
21,0.16969554,0.14118652,0.10695233,0.09022318,0.25633935,0.09994197
22,0.16751859,0.13929516,0.10623697,0.08968614,0.25262299,0.09944596
23,0.16527171,0.13909003,0.10541452,0.08956041,0.24875356,0.09905965
24,0.16368220,0.13767855,0.10467450,0.08909268,0.24587183,0.09899835
25,0.16086231,0.13760757,0.10397740,0.08904008,0.24231422,0.09862439
26,0.15868033,0.13683409,0.10321446,0.08918800,0.23941885,0.09919586
27,0.15673975,0.13559408,0.10272420,0.08832730,0.23619847,0.09826028
28,0.15519881,0.13561970,0.10202551,0.08854088,0.23391890,0.09850163
29,0.15324489,0.13451778,0.10148101,0.08783987,0.23148784,0.09793253
30,0.15150518,0.13384253,0.10089246,0.08768803,0.22846841,0.09763723
31,0.14959116,0.13313459,0.10015634,0.08766662,0.22592960,0.09757961
32,0.14955282,0.13315283,0.10014469,0.08769431,0.22555617,0.09787601
33,0.14809055,0.13245152,0.09960108,0.08755498,0.22318843,0.09782197
34,0.14620241,0.13144453,0.09897541,0.08716304,0.22096713,0.09737670
35,0.14560886,0.13189920,0.09881467,0.08713950,0.21969273,0.09766693
36,0.14372339,0.13088386,0.09802991,0.08674285,0.21725872,0.09709623
37,0.14309905,0.13025697,0.09789996,0.08678537,0.21639933,0.09740321
38,0.14226024,0.12968347,0.09780973,0.08648756,0.21562975,0.09694384
39,0.14014204,0.13021867,0.09695445,0.08681193,0.21265049,0.09753520
40,0.14019558,0.12946525,0.09685250,0.08636873,0.21197750,0.09667619
41,0.13784332,0.12918688,0.09588990,0.08619487,0.20903947,0.09674553
42,0.13813058,0.12829655,0.09601574,0.08604216,0.20915135,0.09644072
43,0.13649276,0.12786608,0.09561296,0.08619066,0.20739504,0.09674731
44,0.13583029,0.12776125,0.09531846,0.08566705,0.20646039,0.09612425
45,0.13482419,0.12719078,0.09499264,0.08556318,0.20459267,0.09621932
46,0.13446785,0.12782941,0.09490677,0.08586585,0.20493465,0.09660809
47,0.13345469,0.12681485,0.09439605,0.08539362,0.20290210,0.09614193
48,0.13216057,0.12622596,0.09394813,0.08527953,0.20100847,0.09598854
49,0.13194075,0.12683994,0.09391497,0.08574953,0.20095437,0.09624555
50,0.13127302,0.12606437,0.09370403,0.08543725,0.20023688,0.09597571
51,0.13052094,0.12555828,0.09330035,0.08515357,0.19930119,0.09559156
52,0.12982160,0.12518015,0.09319505,0.08502499,0.19801507,0.09590293
53,0.12887742,0.12595605,0.09288860,0.08517529,0.19743878,0.09596838
54,0.12862431,0.12543501,0.09248449,0.08502201,0.19622760,0.09594342
55,0.12830811,0.12404559,0.09261590,0.08468644,0.19636389,0.09563013
56,0.12785920,0.12480120,0.09219320,0.08486669,0.19526927,0.09588570
57,0.12686408,0.12401708,0.09198347,0.08468398,0.19433385,0.09588379
58,0.12665601,0.12424315,0.09203895,0.08498671,0.19410895,0.09595348
59,0.12657482,0.12353661,0.09188233,0.08447612,0.19388759,0.09569765
60,0.12487242,0.12387336,0.09127956,0.08464168,0.19203669,0.09556949
61,0.12431409,0.12325277,0.09114040,0.08441722,0.19093552,0.09523003
62,0.12432008,0.12305531,0.09100984,0.08423978,0.19082400,0.09524817
63,0.12304138,0.12265330,0.09074685,0.08419281,0.18984114,0.09507377
64,0.12237288,0.12284823,0.09032839,0.08451335,0.18857438,0.09546799
65,0.12257851,0.12261879,0.09051172,0.08402676,0.18929402,0.09486514
66,0.12172965,0.12192844,0.09017364,0.08410495,0.18777086,0.09512645
67,0.12013131,0.12243314,0.08957015,0.08411695,0.18612850,0.09503955
68,0.12019303,0.12136022,0.08968969,0.08381097,0.18614322,0.09493026
69,0.12061662,0.12201767,0.08973303,0.08410555,0.18635234,0.09523346
70,0.11968559,0.12195685,0.08932006,0.08391838,0.18533681,0.09503064
71,0.11926242,0.12168741,0.08919745,0.08385937,0.18461084,0.09489792
72,0.11919847,0.12160465,0.08909647,0.08372436,0.18473025,0.09461341
73,0.11834336,0.12128468,0.08881235,0.08355492,0.18348863,0.09455173
74,0.11842313,0.12072913,0.08891920,0.08375140,0.18387333,0.09506389
75,0.11730972,0.12076607,0.08856109,0.08350139,0.18283877,0.09448962
76,0.11657703,0.12151827,0.08809867,0.08364366,0.18167673,0.09433283
77,0.11704680,0.12032592,0.08814578,0.08361560,0.18187947,0.09437310
78,0.11627725,0.12040535,0.08818620,0.08349268,0.18156665,0.09437739
79,0.11613433,0.11967742,0.08790758,0.08334810,0.18068039,0.09433049
80,0.11531007,0.12024524,0.08769960,0.08373759,0.18032024,0.09483391
81,0.11514544,0.12100152,0.08757073,0.08378794,0.18015216,0.09470029
82,0.11450514,0.12026518,0.08735963,0.08364817,0.17934869,0.09416713
83,0.11461898,0.11969983,0.08734495,0.08333367,0.17913815,0.09416514
84,0.11386092,0.11947131,0.08722489,0.08330186,0.17874610,0.09414842
85,0.11371534,0.11934164,0.08711563,0.08326532,0.17847059,0.09410483
86,0.11368731,0.11875668,0.08717140,0.08267592,0.17852151,0.09371615
87,0.11297324,0.11886600,0.08675041,0.08327197,0.17723872,0.09418520
88,0.11273071,0.11832637,0.08672744,0.08284647,0.17693357,0.09359635
89,0.11192608,0.11930278,0.08627671,0.08337245,0.17627916,0.09420310
90,0.11164205,0.11817765,0.08644471,0.08297879,0.17588032,0.09357191
91,0.11166257,0.11776696,0.08631626,0.08299198,0.17587122,0.09375266
92,0.11066894,0.11891397,0.08597753,0.08289329,0.17514994,0.09324536
93,0.11100600,0.11884756,0.08613972,0.08317281,0.17533851,0.09378615
94,0.11073582,0.11766223,0.08581175,0.08290404,0.17479199,0.09373929
95,0.11034233,0.11825475,0.08569778,0.08285192,0.17414771,0.09357513
96,0.11046979,0.11805831,0.08585837,0.08291770,0.17466057,0.09354904
97,0.10995597,0.11767679,0.08559791,0.08279353,0.17416822,0.09320132
98,0.10908553,0.11794732,0.08534190,0.08281359,0.17305934,0.09305897
99,0.10888141,0.11769355,0.08529721,0.08262141,0.17293872,0.09346070
100,0.10856949,0.11685261,0.08506759,0.08229739,0.17240931,0.09296702
101,0.10814099,0.11786688,0.08503986,0.08284273,0.17240916,0.09329336
102,0.10821810,0.11743119,0.08501039,0.08249482,0.17230734,0.09307049
103,0.10799149,0.11763999,0.08476221,0.08238695,0.17172849,0.09281650
104,0.10749841,0.11743611,0.08464463,0.08256083,0.17115117,0.09311247
105,0.10779143,0.11677008,0.08476820,0.08250223,0.17182934,0.09294683
106,0.10685150,0.11664498,0.08450363,0.08238439,0.17066738,0.09281672
107,0.10666084,0.11623090,0.08432363,0.08237009,0.17041717,0.09271904
108,0.10585194,0.11582185,0.08393249,0.08209651,0.16917650,0.09267773
109,0.10618189,0.11599191,0.08405945,0.08219996,0.16990484,0.09276807
110,0.10572085,0.11578226,0.08400079,0.08209962,0.16947832,0.09258572
111,0.10589597,0.11575818,0.08400221,0.08224741,0.16955615,0.09293790
112,0.10479253,0.11592045,0.08359266,0.08222089,0.16826899,0.09289271
113,0.10576307,0.11605922,0.08393948,0.08203236,0.16938574,0.09244189
114,0.10506191,0.11636260,0.08359078,0.08247478,0.16835921,0.09260697
115,0.10452698,0.11609385,0.08355421,0.08215905,0.16813544,0.09278325
116,0.10444764,0.11570293,0.08338366,0.08186325,0.16798772,0.09253745
117,0.10434327,0.11575882,0.08341505,0.08219223,0.16782106,0.09253010
118,0.10386860,0.11586853,0.08325803,0.08220535,0.16718001,0.09247197
119,0.10405720,0.11627589,0.08333121,0.08221734,0.16802775,0.09276658
120,0.10322583,0.11431556,0.08301249,0.08168018,0.16647806,0.09223396
121,0.10329111,0.11515294,0.08301629,0.08194581,0.16688244,0.09217813
122,0.10323795,0.11436962,0.08293835,0.08160059,0.16672040,0.09233909
123,0.10339744,0.11533723,0.08300045,0.08214415,0.16715182,0.09233407
124,0.10241047,0.11524047,0.08263590,0.08188273,0.16556440,0.09234134
125,0.10245803,0.11518684,0.08263037,0.08192523,0.16577577,0.09203935
126,0.10165427,0.11525071,0.08244053,0.08221728,0.16509649,0.09237169
127,0.10199861,0.11440959,0.08248359,0.08152486,0.16541577,0.09171782
128,0.10180272,0.11481124,0.08244417,0.08175547,0.16514639,0.09176949
129,0.10201715,0.11385408,0.08250820,0.08166099,0.16539810,0.09160042
130,0.10170599,0.11504835,0.08234670,0.08198483,0.16525636,0.09201116
131,0.10134769,0.11422883,0.08234312,0.08167969,0.16482291,0.09188236
132,0.10114649,0.11429857,0.08215296,0.08188021,0.16438599,0.09235462
133,0.10119571,0.11415388,0.08211755,0.08180607,0.16444307,0.09196259
134,0.10089418,0.11409449,0.08203197,0.08151296,0.16421229,0.09164595
135,0.10015846,0.11504683,0.08174702,0.08227167,0.16354350,0.09226435
136,0.10032671,0.11461596,0.08189636,0.08173490,0.16373999,0.09178396
137,0.10026576,0.11431043,0.08170293,0.08172263,0.16346292,0.09163520
138,0.09991537,0.11397169,0.08163549,0.08160758,0.16303251,0.09167155
139,0.10011722,0.11439361,0.08176064,0.08179424,0.16348357,0.09204725
140,0.10007359,0.11406555,0.08164411,0.08151310,0.16324045,0.09143280
141,0.09991735,0.11388979,0.08153914,0.08154174,0.16322349,0.09161587
142,0.09962883,0.11407621,0.08147868,0.08168536,0.16273751,0.09184964
143,0.09921329,0.11332986,0.08129131,0.08135879,0.16229711,0.09141455
144,0.09929657,0.11342820,0.08137208,0.08136785,0.16226442,0.09141274
145,0.09889360,0.11365037,0.08109931,0.08152704,0.16194202,0.09195552
146,0.09884424,0.11305381,0.08111051,0.08139792,0.16166982,0.09136347
147,0.09865567,0.11323984,0.08122267,0.08136917,0.16200963,0.09153353
148,0.09901635,0.11326755,0.08141651,0.08133952,0.16246371,0.09134810
149,0.09837555,0.11316642,0.08097785,0.08143280,0.16128249,0.09184217
150,0.09817401,0.11325927,0.08091523,0.08154013,0.16138649,0.09183111
151,0.09864071,0.11280972,0.08105363,0.08132656,0.16180495,0.09149948
152,0.09813072,0.11305714,0.08090714,0.08141734,0.16119501,0.09160440
153,0.09761295,0.11323022,0.08059160,0.08181720,0.16047987,0.09180669
154,0.09812461,0.11316192,0.08097704,0.08151822,0.16156379,0.09170820
155,0.09798780,0.11323146,0.08085483,0.08147980,0.16100179,0.09134281
156,0.09745273,0.11303850,0.08062970,0.08150140,0.16083436,0.09137443
157,0.09761044,0.11231795,0.08067657,0.08140835,0.16083007,0.09149025
158,0.09714987,0.11307561,0.08047411,0.08137904,0.16001282,0.09148567
159,0.09711530,0.11261664,0.08054152,0.08131273,0.16024183,0.09150611
160,0.09682807,0.11328245,0.08021240,0.08150006,0.15995189,0.09145002
161,0.09788969,0.11264646,0.08061716,0.08142578,0.16040943,0.09155019
162,0.09702466,0.11289466,0.08045728,0.08137780,0.16043572,0.09140562
163,0.09643249,0.11270186,0.08021501,0.08131992,0.15946275,0.09134744
164,0.09598775,0.11263601,0.07999903,0.08123633,0.15881285,0.09133003
165,0.09662121,0.11305076,0.08017867,0.08137554,0.15961119,0.09147309
166,0.09617868,0.11295173,0.08013491,0.08133880,0.15935635,0.09144315
167,0.09638459,0.11232948,0.08012157,0.08112693,0.15907940,0.09111866
168,0.09596432,0.11220651,0.08007896,0.08108879,0.15912234,0.09119829
169,0.09664749,0.11309848,0.08021458,0.08140232,0.15959064,0.09137424
170,0.09619815,0.11263608,0.08005582,0.08125820,0.15918541,0.09117355
171,0.09544170,0.11231818,0.07979251,0.08112547,0.15845499,0.09122745
172,0.09585603,0.11247116,0.07988304,0.08114701,0.15878813,0.09127220
173,0.09634223,0.11293389,0.08017257,0.08138428,0.15923481,0.09140164
174,0.09570804,0.11264806,0.07982939,0.08123687,0.15884488,0.09125547
175,0.09576228,0.11280362,0.07987294,0.08134023,0.15848246,0.09114204
176,0.09568429,0.11272755,0.07990965,0.08122839,0.15847690,0.09098780
177,0.09562292,0.11276606,0.07978670,0.08125754,0.15834312,0.09111639
178,0.09515669,0.11280764,0.07960565,0.08130308,0.15812362,0.09124329
179,0.09589954,0.11261412,0.07988777,0.08114363,0.15893476,0.09108111
180,0.09565030,0.11244752,0.07975117,0.08112285,0.15820516,0.09100620
181,0.09509886,0.11246659,0.07965551,0.08102521,0.15806738,0.09113842
182,0.09535476,0.11271035,0.07970994,0.08134828,0.15810198,0.09121633
183,0.09523852,0.11273224,0.07966304,0.08125540,0.15810377,0.09109284
184,0.09529712,0.11256580,0.07963890,0.08126269,0.15812316,0.09116097
185,0.09492111,0.11268319,0.07961252,0.08124367,0.15804594,0.09115343
186,0.09542978,0.11203977,0.07982778,0.08114018,0.15836347,0.09104680
187,0.09455011,0.11237667,0.07937690,0.08113899,0.15732766,0.09099362
188,0.09487227,0.11232414,0.07959451,0.08108432,0.15779111,0.09109447
189,0.09460248,0.11233736,0.07942821,0.08121982,0.15734447,0.09120665
190,0.09456147,0.11173398,0.07944909,0.08102048,0.15754243,0.09103719
191,0.09461405,0.11202221,0.07941784,0.08113773,0.15766051,0.09114426
192,0.09410294,0.11245643,0.07921643,0.08115766,0.15736979,0.09112330
193,0.09470702,0.11216641,0.07935524,0.08114682,0.15702000,0.09097811
194,0.09506150,0.11181920,0.07951266,0.08098454,0.15760689,0.09086849
195,0.09443016,0.11194815,0.07941171,0.08098360,0.15755800,0.09091689
196,0.09427245,0.11187947,0.07922661,0.08104667,0.15709162,0.09087338
197,0.09409513,0.11204848,0.07922378,0.08109048,0.15672806,0.09106253
198,0.09345966,0.11183060,0.07900737,0.08094044,0.15641877,0.09094016
199,0.09424960,0.11178198,0.07928635,0.08098087,0.15690518,0.09096516
200,0.09424129,0.11175232,0.07923962,0.08099762,0.15718410,0.09083943
201,0.09391816,0.11170739,0.07921479,0.08095931,0.15717029,0.09088055
202,0.09424479,0.11206402,0.07927305,0.08113775,0.15722932,0.09092404
203,0.09378482,0.11181768,0.07908914,0.08108047,0.15659707,0.09087362
204,0.09394358,0.11166681,0.07923996,0.08099861,0.15731384,0.09096475
205,0.09419423,0.11206889,0.07935069,0.08110358,0.15725910,0.09091306
206,0.09468463,0.11171428,0.07938744,0.08090861,0.15743246,0.09076958
207,0.09349814,0.11179758,0.07883615,0.08096024,0.15634491,0.09096961
208,0.09339304,0.11168218,0.07885851,0.08096603,0.15603682,0.09089782
209,0.09323219,0.11157453,0.07892237,0.08091616,0.15604230,0.09083426
210,0.09372840,0.11157755,0.07896201,0.08096452,0.15645914,0.09083890
211,0.09412548,0.11167557,0.07912865,0.08090861,0.15663679,0.09084568
212,0.09356450,0.11155704,0.07899480,0.08092028,0.15640536,0.09094068
213,0.09339191,0.11178629,0.07891146,0.08092910,0.15641210,0.09092132
214,0.09333544,0.11147064,0.07898910,0.08090866,0.15604381,0.09093816
215,0.09345462,0.11177989,0.07887094,0.08098412,0.15625923,0.09088080
216,0.09341507,0.11173449,0.07892056,0.08097399,0.15588810,0.09083490
217,0.09330372,0.11180717,0.07887591,0.08107425,0.15636882,0.09102879
218,0.09379606,0.11177737,0.07915087,0.08094898,0.15662129,0.09079963
219,0.09348987,0.11160354,0.07886476,0.08092597,0.15624889,0.09079138
220,0.09427432,0.11180434,0.07933583,0.08100672,0.15751663,0.09083112
221,0.09366844,0.11188982,0.07905434,0.08103516,0.15649523,0.09084629
222,0.09377178,0.11183002,0.07913341,0.08102558,0.15681433,0.09086913
223,0.09345491,0.11191741,0.07885313,0.08107281,0.15617860,0.09084878
224,0.09348815,0.11181556,0.07897234,0.08101797,0.15635253,0.09087406
225,0.09381552,0.11173832,0.07902878,0.08095394,0.15657229,0.09083759
226,0.09361745,0.11164166,0.07902550,0.08091808,0.15640368,0.09075709
227,0.09349946,0.11163133,0.07900109,0.08093719,0.15627123,0.09076210
228,0.09337675,0.11157068,0.07882120,0.08090656,0.15590756,0.09080333
229,0.09329767,0.11157578,0.07889379,0.08091231,0.15612091,0.09077137
230,0.09314518,0.11159187,0.07885800,0.08091771,0.15595441,0.09070358
231,0.09366809,0.11156762,0.07897095,0.08086126,0.15655891,0.09069304
232,0.09332896,0.11161182,0.07895492,0.08092206,0.15623621,0.09076726
233,0.09355949,0.11171116,0.07879168,0.08099829,0.15588967,0.09081763
234,0.09312813,0.11174706,0.07888639,0.08100033,0.15602541,0.09076933
235,0.09291706,0.11171445,0.07859917,0.08097425,0.15561393,0.09077777
236,0.09343158,0.11168829,0.07893073,0.08096183,0.15643938,0.09078495
237,0.09364795,0.11171951,0.07901449,0.08098573,0.15641599,0.09081854
238,0.09308540,0.11160722,0.07869986,0.08094857,0.15560194,0.09076768
239,0.09306008,0.11156659,0.07865463,0.08095507,0.15551524,0.09078930
240,0.09368226,0.11166033,0.07887747,0.08097278,0.15620948,0.09081254
241,0.09335659,0.11166333,0.07886858,0.08098408,0.15642160,0.09079238
242,0.09321495,0.11160194,0.07875457,0.08093626,0.15591346,0.09076518
243,0.09288336,0.11161246,0.07880465,0.08093978,0.15574110,0.09073752
244,0.09308076,0.11164737,0.07892609,0.08094688,0.15619386,0.09078923
245,0.09331866,0.11168159,0.07872093,0.08099189,0.15608224,0.09083746
246,0.09297588,0.11163681,0.07877449,0.08097308,0.15571405,0.09078991
247,0.09287678,0.11166278,0.07878580,0.08099121,0.15599891,0.09079767
248,0.09310519,0.11163523,0.07874183,0.08097103,0.15568812,0.09079264
249,0.09361653,0.11161271,0.07900631,0.08097121,0.15643748,0.09079279
250,0.09281598,0.11162329,0.07864899,0.08096381,0.15571446,0.09077044
